"id","production_country"
"ts300399","'US'"
"tm84618","'US'"
"tm154986","'US'"
"tm127384","'GB'"
"tm120801","'GB'"
"tm120801","'US'"
"ts22164","'GB'"
"tm70993","'GB'"
"tm14873","'US'"
"tm119281","'US'"
"tm98978","'US'"
"tm44204","'GB'"
"tm44204","'US'"
"tm67378","'US'"
"tm69997","'US'"
"tm16479","'US'"
"tm135083","'EG'"
"tm89386","'DE'"
"tm156453","'US'"
"tm14350","'EG'"
"tm81728","'EG'"
"tm94651","'IN'"
"tm27298","'EG'"
"tm100027","'SU'"
"tm100027","'IN'"
"tm19608","'EG'"
"tm204541","'EG'"
"tm259855","'LB'"
"tm259855","'CA'"
"tm259855","'FR'"
"tm356209","'IN'"
"tm200475","'LB'"
"tm90896","'DZ'"
"tm90896","'EG'"
"tm336403","'IN'"
"tm107372","'IN'"
"tm358653","'IN'"
"tm259684","'CA'"
"tm259684","'FR'"
"tm259684","'LB'"
"tm403346","'IN'"
"tm16812","'IN'"
"ts20681","'US'"
"tm155787","'US'"
"tm22327","'US'"
"tm22327","'GB'"
"tm180542","'US'"
"tm180542","'IT'"
"tm138875","'US'"
"tm2386","'GB'"
"tm2386","'US'"
"tm133087","'US'"
"tm177480","'US'"
"tm54450","'US'"
"ts22082","'US'"
"ts21715","'GB'"
"ts20678","'US'"
"tm145608","'US'"
"ts25028","'US'"
"tm147710","'US'"
"tm142895","'US'"
"tm20712","'US'"
"tm117580","'US'"
"ts23753","'US'"
"tm130586","'US'"
"ts987","'GB'"
"tm721687","'IN'"
"tm40103","'JP'"
"tm125985","'JP'"
"ts2760","'GB'"
"tm21953","'US'"
"tm126769","'AR'"
"tm152839","'US'"
"tm49037","'JP'"
"tm62924","'GB'"
"tm52815","'IN'"
"tm159912","'IN'"
"tm133914","'GB'"
"tm38736","'US'"
"tm51083","'US'"
"tm137013","'US'"
"tm157603","'IN'"
"tm258072","'US'"
"tm114356","'US'"
"tm157853","'US'"
"tm132164","'US'"
"tm446654","'IN'"
"tm348735","'IN'"
"tm151332","'FR'"
"tm151332","'EG'"
"tm342996","'IN'"
"tm24110","'US'"
"tm371359","'IN'"
"tm55091","'US'"
"ts63001","'US'"
"tm311264","'IN'"
"tm411457","'IN'"
"tm172482","'IN'"
"tm419052","'IN'"
"tm47673","'EG'"
"tm52274","'FR'"
"tm52274","'LB'"
"tm147829","'US'"
"ts20981","'US'"
"tm107744","'US'"
"ts22176","'CA'"
"ts22176","'US'"
"tm15897","'US'"
"ts21223","'JP'"
"tm191013","'US'"
"tm122434","'US'"
"tm25947","'US'"
"tm25947","'GB'"
"tm43808","'US'"
"ts20339","'JP'"
"ts5145","'US'"
"tm191110","'US'"
"ts34435","'JP'"
"tm192037","'US'"
"tm27395","'US'"
"tm113513","'US'"
"ts20983","'JP'"
"tm192405","'US'"
"tm116655","'US'"
"tm116655","'FR'"
"ts21567","'US'"
"tm116488","'US'"
"tm11556","'JP'"
"tm11556","'US'"
"tm56574","'US'"
"ts20960","'US'"
"tm53991","'US'"
"tm49178","'US'"
"ts25252","'JP'"
"tm191989","'US'"
"ts22193","'CA'"
"ts22193","'US'"
"ts22489","'US'"
"ts22489","'CA'"
"ts21034","'JP'"
"tm121879","'US'"
"tm44402","'DE'"
"tm44402","'US'"
"tm187187","'US'"
"ts16919","'US'"
"tm6859","'US'"
"tm118238","'US'"
"tm111163","'US'"
"tm111163","'CA'"
"tm190835","'JP'"
"tm192769","'US'"
"tm187791","'US'"
"tm113576","'US'"
"ts34921","'JP'"
"tm65686","'US'"
"ts8570","'US'"
"tm191387","'PE'"
"tm191387","'US'"
"tm191387","'BR'"
"ts27693","'US'"
"tm19494","'US'"
"tm191772","'US'"
"tm12499","'US'"
"tm186589","'IT'"
"tm186589","'US'"
"tm186589","'FR'"
"tm189764","'US'"
"tm10739","'CA'"
"tm10739","'US'"
"tm1822","'JP'"
"tm1822","'US'"
"tm55369","'US'"
"ts251477","'JP'"
"tm192431","'US'"
"ts22286","'JP'"
"tm192199","'US'"
"ts11397","'US'"
"tm56033","'IE'"
"tm56033","'GB'"
"tm56033","'DE'"
"tm56033","'FR'"
"ts21581","'US'"
"tm117488","'US'"
"tm190811","'US'"
"tm191431","'HK'"
"tm191431","'US'"
"tm10811","'US'"
"tm49839","'US'"
"ts20918","'US'"
"ts21693","'US'"
"ts20939","'US'"
"ts21684","'AU'"
"ts22080","'FR'"
"tm67635","'IN'"
"tm320211","'GB'"
"tm7073","'US'"
"ts28516","'AR'"
"tm117873","'IN'"
"tm55100","'IN'"
"tm64817","'US'"
"ts22039","'FR'"
"tm188606","'DE'"
"tm188606","'GH'"
"tm188606","'GB'"
"tm188606","'US'"
"tm188606","'BF'"
"tm41525","'MX'"
"tm189171","'ES'"
"tm189171","'AR'"
"tm63514","'US'"
"tm21911","'US'"
"tm188970","'GB'"
"tm12876","'IN'"
"ts224786","'CO'"
"tm62176","'IN'"
"tm52871","'IN'"
"tm8687","'US'"
"tm104933","'US'"
"tm184326","'IN'"
"tm62385","'IN'"
"tm191614","'FR'"
"tm191614","'EG'"
"tm110766","'PS'"
"tm110766","'US'"
"tm110766","'FR'"
"tm110766","'DE'"
"tm9898","'IN'"
"tm47530","'IN'"
"tm57169","'GB'"
"tm57169","'US'"
"tm192301","'IN'"
"tm58893","'IN'"
"tm110160","'IN'"
"tm118438","'IN'"
"tm424630","'US'"
"tm27601","'IN'"
"tm203186","'LB'"
"tm128073","'GB'"
"tm7951","'US'"
"tm7135","'US'"
"tm52083","'FR'"
"tm52083","'NO'"
"tm52083","'LB'"
"tm52083","'BE'"
"tm340430","'IN'"
"tm7032","'BE'"
"tm7032","'FR'"
"tm7032","'IT'"
"tm7032","'LB'"
"tm256669","'IN'"
"tm64729","'US'"
"tm184224","'US'"
"tm25389","'IN'"
"tm34391","'GB'"
"tm44776","'FR'"
"tm44776","'EG'"
"tm334788","'IN'"
"tm117840","'FR'"
"tm117840","'EG'"
"tm42397","'IN'"
"tm314602","'IN'"
"tm233344","'IN'"
"tm7810","'US'"
"tm210754","'TR'"
"tm449775","'IN'"
"tm449775","'SU'"
"ts4","'US'"
"ts20371","'GB'"
"ts9","'US'"
"ts21465","'US'"
"tm74402","'US'"
"tm91952","'CA'"
"tm91952","'US'"
"ts288536","'GB'"
"ts12724","'US'"
"ts6644","'DK'"
"ts8308","'US'"
"tm111828","'US'"
"ts21469","'US'"
"ts17156","'US'"
"ts22011","'CA'"
"ts26091","'FR'"
"tm150112","'US'"
"ts22337","'US'"
"ts3371","'US'"
"tm80906","'US'"
"ts20604","'US'"
"ts20573","'GB'"
"tm92641","'US'"
"tm92641","'GB'"
"ts22099","'US'"
"tm27911","'US'"
"ts21464","'US'"
"tm88465","'CA'"
"tm88465","'US'"
"tm172683","'US'"
"ts11313","'JP'"
"ts21247","'US'"
"ts20305","'JP'"
"tm42877","'DE'"
"tm42877","'US'"
"tm39030","'DE'"
"tm39030","'GB'"
"tm39030","'US'"
"tm39030","'BS'"
"tm39030","'CZ'"
"ts21511","'CA'"
"ts21511","'US'"
"tm997728","'US'"
"ts17942","'US'"
"tm89677","'US'"
"tm78592","'US'"
"tm105329","'US'"
"ts30311","'US'"
"tm139658","'US'"
"tm26327","'US'"
"tm95477","'MT'"
"tm95477","'GB'"
"tm95477","'US'"
"tm154187","'AU'"
"tm154187","'DE'"
"tm154187","'GB'"
"tm154187","'US'"
"ts22267","'CA'"
"tm133767","'GB'"
"tm133767","'US'"
"ts2230","'US'"
"tm45454","'US'"
"tm26897","'GB'"
"tm26897","'US'"
